beforeSnowsnake_40_story,3.74E+14,雪球排成一条蜿蜒的长队挡住了前路\n最前面是一张咧嘴笑的脑袋\n雪蛇无声地嘶鸣,A winding trail of snowballs blocked the path ahead\nAnd at the front a grinning head\nThe snow-snake hissed without a sound
beforeSnowsnake_41_story,3.74E+14,卡罗尔高高举起提灯\n若她能及时晃花它\n也许蛇尾就会乱了阵脚,Carol raised her lantern high\nIf she could dazzle it in time\nMaybe the tail would lose its rhyme
afterSnowsnake_42_story,3.74E+14,散落的雪不再滚动\n洞穴出奇地安静\n卡罗尔呼气继续向前,The scattered snow stopped rolling\nThe cave felt oddly quiet\nCarol exhaled and stepped beyond it
afterSnowsnake_43_story,3.74E+14,下一关再有什么都先喘口气\n她挺过了这场雪的威胁,Whatever waited next could wait a breath\nShe had survived the snowy threat
beforeGhost_44_story,3.74E+14,一种不属于冬天的寒意沿着石缝爬行\n气流呜咽处有什么在飘荡,A chill that wasn't winter crawled along the stones\nA shape drifted where the draft moaned
beforeGhost_45_story,3.74E+14,卡罗尔稳住颤抖的手\n她不会逃离空气\n她要正面迎上幽灵,Carol steadied her shaking hands\nShe would not run from empty air\nShe would meet the ghost right there
afterGhost_46_story,3.74E+14,灵体越来越淡\n像晨雾一样溜走\n只在她腕上留下一点霜,The spirit flickered thin and thin\nThen slipped away like morning mist\nLeaving only frost on her wrist
afterGhost_47_story,3.74E+14,卡罗尔又听了一会儿\n大厅里只剩寂静\n只有她的脚步,Carol listened for another sigh\nBut the hall was still\nOnly her footsteps passed by
beforeShadow_48_story,3.74E+14,一团污黑沿着墙滑动\n快得不像是污渍,A smudge of black slid along the wall\nToo quick to be a stain at all
beforeShadow_49_story,3.74E+14,卡罗尔追逐那道游影\n它窜进烛光照不到的角落\n像一场停不下来的捉迷藏,Carol chased the moving shade\nIt darted where the candles failed\nA game of tag that never paled
afterShadow_50_story,3.74E+14,影子聚拢又升起如烟\n然后摊平溜走\n仿佛从未停留,The shadow pooled and rose like smoke\nThen folded flat and slipped away\nAs if it never chose to stay
afterShadow_51_story,3.74E+14,卡罗尔在心里记下位置\n不管那是什么她已把它甩在身后\n她还有光能指路,Carol marked the spot in her mind\nWhatever it was she left behind\nShe still had light to help her find
beforeHorriblemanNew_52_story,3.74E+14,洞穴又冷又旧\n有什么在舔一口偷来的铃铛\n卡罗尔大喊那不该你卖,The cave breathed cold and old\nSomething licked a stolen bell\nCarol yelled that's not yours to sell
beforeHorriblemanNew_53_story,3.74E+14,人影一缩把战利品抱紧\n吃相狼狈却衣着讲究\n圣诞规矩可不讲情,The figure flinched and hugged the loot\nA messy eater in a fancy suit\nChristmas rules were absolute
afterHorriblemanNew_54_story,3.74E+14,也许他骨子里不算坏\n只是又吵又饿又爱炫\n偷这座镇子仍不对,Maybe he wasn't wicked deep down\nJust hungry loud and oddly proud\nStill wrong to steal from this town
afterHorriblemanNew_55_story,3.74E+14,卡罗尔指向远处的光\n想吃饱就跟上\n但先去学唱诗班的歌,Carol pointed toward the distant glow\nIf you want a feast then come and go\nBut learn the songs the choir knows
afterHorriblemanNew_56_story,3.74E+14,他们踏进雪里的空气\n寒夜里上了一课陌生人\n也许这样也不错,They stepped into the snowy air\nA stranger lesson one cold night\nBut maybe that was kind of right
beforeCrack_57_story,3.74E+14,一道细黑线像墨汁一样裂开地板\n它呼吸着像某种即将苏醒的东西,A thin black line split the floor like ink\nIt breathed like something on the brink
beforeCrack_58_story,3.74E+14,卡罗尔绕开些距离看它蔓延\n裂缝跟着她的脚步\n像一张等着进食的嘴,Carol circled wide and watched it spread\nA crack that followed where she tread\nA trap that hungered to be fed
afterCrack_59_story,3.74E+14,裂隙在霜里合上归于平静\n木板记起自己只是地板\n而不是敞开的海,The fissure sealed with frost and calm\nThe boards remembered how to be\nA floor and not an open sea
afterCrack_60_story,3.74E+14,卡罗尔轻敲木板\n刚才张开的已不再\n她还有铃铛和呼吸,Carol tapped the wood with care\nWhatever opened wasn't there\nShe still had bells and breath to spare
